time_open,time_close,time_high,time_low,quote.USDT.open,quote.USDT.high,quote.USDT.low,quote.USDT.close,quote.USDT.volume,quote.USDT.market_cap,quote.USDT.timestamp
2013-05-11T00:00:00.000Z,2013-05-11T23:59:59.999Z,2013-05-11T11:50:03.000Z,2013-05-11T20:25:01.000Z,,,,,,,
2013-05-12T00:00:00.000Z,2013-05-12T23:59:59.999Z,2013-05-12T08:35:02.000Z,2013-05-12T14:20:01.000Z,,,,,,,
2013-05-13T00:00:00.000Z,2013-05-13T23:59:59.999Z,2013-05-13T11:50:01.000Z,2013-05-13T03:15:01.000Z,,,,,,,
2013-05-14T00:00:00.000Z,2013-05-14T23:59:59.999Z,2013-05-14T13:00:02.000Z,2013-05-14T23:15:01.000Z,,,,,,,
2013-05-15T00:00:00.000Z,2013-05-15T23:59:59.999Z,2013-05-15T15:45:02.000Z,2013-05-15T00:25:01.000Z,,,,,,,
2013-05-16T00:00:00.000Z,2013-05-16T23:59:59.999Z,2013-05-16T23:55:01.000Z,2013-05-16T06:20:01.000Z,,,,,,,
2013-05-17T00:00:00.000Z,2013-05-17T23:59:59.999Z,2013-05-17T17:40:02.000Z,2013-05-17T03:35:01.000Z,,,,,,,
2013-05-18T00:00:00.000Z,2013-05-18T23:59:59.999Z,2013-05-18T02:50:02.000Z,2013-05-18T01:20:01.000Z,,,,,,,
2013-05-19T00:00:00.000Z,2013-05-19T23:59:59.999Z,2013-05-19T11:55:01.000Z,2013-05-19T17:05:01.000Z,,,,,,,
2013-05-20T00:00:00.000Z,2013-05-20T23:59:59.999Z,2013-05-20T06:05:01.000Z,2013-05-20T04:45:03.000Z,,,,,,,
2013-05-21T00:00:00.000Z,2013-05-21T23:59:59.999Z,2013-05-21T05:10:01.000Z,2013-05-21T10:00:01.000Z,,,,,,,
2013-05-22T00:00:00.000Z,2013-05-22T23:59:59.999Z,2013-05-22T23:40:01.000Z,2013-05-22T03:25:01.000Z,,,,,,,
2013-05-23T00:00:00.000Z,2013-05-23T23:59:59.999Z,2013-05-23T15:10:12.000Z,2013-05-23T00:25:02.000Z,,,,,,,
2013-05-24T00:00:00.000Z,2013-05-24T23:59:59.999Z,2013-05-24T19:15:01.000Z,2013-05-24T05:15:01.000Z,,,,,,,
2013-05-25T00:00:00.000Z,2013-05-25T23:59:59.999Z,2013-05-25T00:50:02.000Z,2013-05-25T12:05:02.000Z,,,,,,,
2013-05-26T00:00:00.000Z,2013-05-26T23:59:59.999Z,2013-05-26T15:15:02.000Z,2013-05-26T02:10:02.000Z,,,,,,,
2013-05-27T00:00:00.000Z,2013-05-27T23:59:59.999Z,2013-05-27T09:45:01.000Z,2013-05-27T19:55:02.000Z,,,,,,,
2013-05-28T00:00:00.000Z,2013-05-28T23:59:59.999Z,2013-05-28T00:20:01.000Z,2013-05-28T14:25:01.000Z,,,,,,,
2013-05-29T00:00:00.000Z,2013-05-29T23:59:59.999Z,2013-05-29T21:35:01.000Z,2013-05-29T14:35:02.000Z,,,,,,,
2013-05-30T00:00:00.000Z,2013-05-30T23:59:59.999Z,2013-05-30T00:00:01.000Z,2013-05-30T20:25:02.000Z,,,,,,,
2013-05-31T00:00:00.000Z,2013-05-31T23:59:59.999Z,2013-05-31T22:00:01.000Z,2013-05-31T19:25:02.000Z,,,,,,,
2013-06-01T00:00:00.000Z,2013-06-01T23:59:59.999Z,2013-06-01T00:05:02.000Z,2013-06-01T06:45:01.000Z,,,,,,,
2013-06-02T00:00:00.000Z,2013-06-02T23:59:59.999Z,2013-06-02T00:10:01.000Z,2013-06-02T15:40:01.000Z,,,,,,,
2013-06-03T00:00:00.000Z,2013-06-03T23:59:59.999Z,2013-06-03T00:00:01.000Z,2013-06-03T11:10:01.000Z,,,,,,,
2013-06-04T00:00:00.000Z,2013-06-04T23:59:59.999Z,2013-06-04T07:25:01.000Z,2013-06-04T14:00:01.000Z,,,,,,,
